"","SITE","SOIL","TIME","HOST","TISSUE","TEMP","MEDIA"
"MSHM1","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Leaf",23,"PDA"
"MSHM2","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Leaf",23,"PDA"
"MSHM3","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Leaf",23,"PDA"
"MSHM4","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Leaf",30,"PDA"
"MSHM5","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Leaf",30,"PDA"
"MSHM6","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Leaf",30,"PDA"
"MSHM7","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Leaf",23,"PDA+Plant extract"
"MSHM8","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Leaf",23,"PDA+Plant extract"
"MSHM9","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Leaf",23,"PDA+Plant extract"
"MSHM10","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Leaf",30,"PDA+Plant extract"
"MSHM11","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Leaf",30,"PDA+Plant extract"
"MSHM12","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Leaf",30,"PDA+Plant extract"
"MSHM13","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Branch",23,"PDA"
"MSHM14","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Branch",23,"PDA"
"MSHM15","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Branch",23,"PDA"
"MSHM16","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Branch",30,"PDA"
"MSHM17","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Branch",30,"PDA"
"MSHM18","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Branch",30,"PDA"
"MSHM19","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Branch",23,"PDA+Plant extract"
"MSHM20","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Branch",23,"PDA+Plant extract"
"MSHM21","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Branch",23,"PDA+Plant extract"
"MSHM22","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Branch",30,"PDA+Plant extract"
"MSHM23","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Branch",30,"PDA+Plant extract"
"MSHM24","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Branch",30,"PDA+Plant extract"
"MSHM25","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",23,"PDA"
"MSHM26","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",23,"PDA"
"MSHM27","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",23,"PDA"
"MSHM28","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",23,"PDA"
"MSHM29","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",23,"PDA"
"MSHM30","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",23,"PDA"
"MSHM31","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",30,"PDA"
"MSHM32","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",30,"PDA"
"MSHM33","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",30,"PDA"
"MSHM34","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",30,"PDA"
"MSHM35","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",30,"PDA"
"MSHM36","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",30,"PDA"
"MSHM37","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",23,"PDA+Plant extract"
"MSHM38","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",23,"PDA+Plant extract"
"MSHM39","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",23,"PDA+Plant extract"
"MSHM40","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",23,"PDA+Plant extract"
